price,house_type,acreage,width,length,bedrooms,bathrooms,floors,legal_status,street,ward,district,city
3.7,"Nhà ngõ, hẻm",30,3,10,2,1,2,Đã có sổ,Duong Au Duong Lan, Phường 2, Quận 8, Tp Hồ Chí Minh
8.5,"Nhà ngõ, hẻm",64,4,16,4,5,3,Đã có sổ,Duong Pham The Hien, Phường 3, Quận 8, Tp Hồ Chí Minh
7.2,"Nhà ngõ, hẻm",60,4,15,5,5,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
8.5,"Nhà ngõ, hẻm",56.7,4.2,13.5,6,7,4,Đã có sổ,Duong Au Duong Lan, Phường 2, Quận 8, Tp Hồ Chí Minh
2.5,"Nhà ngõ, hẻm",40,2,20,3,2,2,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
2.86,"Nhà ngõ, hẻm",24.9,3,8.3,2,3,3,Đã có sổ,Duong Hung Phu, Phường 9, Quận 8, Tp Hồ Chí Minh
7.88,"Nhà mặt phố, mặt tiền",61.05,3.3,18.5,3,2,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
6.2,"Nhà ngõ, hẻm",43,4.3,10,3,3,3,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
3.6,"Nhà ngõ, hẻm",43.4,3.1,14,5,3,3,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
8.4,"Nhà mặt phố, mặt tiền",80,5,16,3,4,3,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
3.5,"Nhà ngõ, hẻm",24,6,4,2,2,2,Đã có sổ,Duong Duong Ba Trac, Phường 2, Quận 8, Tp Hồ Chí Minh
5.38,"Nhà ngõ, hẻm",54.4,3.4,16,2,2,2,Đã có sổ,Duong Bui Minh Truc, Phường 5, Quận 8, Tp Hồ Chí Minh
5.2,"Nhà ngõ, hẻm",42,3.5,12,2,2,2,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
14,"Nhà mặt phố, mặt tiền",72,4.5,16,4,5,4,Đã có sổ,Duong So 3, Phường 5, Quận 8, Tp Hồ Chí Minh
4.98,"Nhà ngõ, hẻm",40,4,10,4,3,4,Đã có sổ,Duong Ben Me Coc, Phường 15, Quận 8, Tp Hồ Chí Minh
3.6,"Nhà ngõ, hẻm",43.4,3.1,14,4,3,2,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
2.7,"Nhà ngõ, hẻm",40.5,4.5,9,2,1,1,Đã có sổ,Duong Ben Me Coc, Phường 15, Quận 8, Tp Hồ Chí Minh
4.2,"Nhà ngõ, hẻm",57.35,3.7,15.5,2,1,2,Đã có sổ,Duong Nguyen Duy, Phường 8, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",34,3.4,10,2,2,2,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
13.5,"Nhà mặt phố, mặt tiền",80,4,20,3,2,2,Đã có sổ,Duong Hoang Minh Dao, Phường 5, Quận 8, Tp Hồ Chí Minh
7.75,"Nhà ngõ, hẻm",52,4,13,3,3,3,Đã có sổ,Duong Pham The Hien, Phường 4, Quận 8, Tp Hồ Chí Minh
5.2,"Nhà ngõ, hẻm",92.8,5.8,16,6,7,4,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
8.8,"Nhà ngõ, hẻm",69,4.6,15,4,4,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
7.88,"Nhà mặt phố, mặt tiền",610.5,3.3,185,3,2,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
4.3,"Nhà ngõ, hẻm",29.68,5.3,5.6,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 1, Quận 8, Tp Hồ Chí Minh
12.5,"Nhà mặt phố, mặt tiền",40.5,4.5,9,5,4,5,Đã có sổ,Duong Hung Phu, Phường 9, Quận 8, Tp Hồ Chí Minh
1.6,"Nhà ngõ, hẻm",59.2,3.7,16,2,1,1,Đang chờ sổ,Duong An Duong Vuong, Phường 16, Quận 8, Tp Hồ Chí Minh
3.8,"Nhà ngõ, hẻm",75,5,15,2,2,1,Đã có sổ,Duong Binh Duc, Phường 15, Quận 8, Tp Hồ Chí Minh
5.95,"Nhà mặt phố, mặt tiền",58.72,4.35,13.5,2,3,2,Đã có sổ,Duong Pham The Hien, Phường 3, Quận 8, Tp Hồ Chí Minh
10.8,"Nhà mặt phố, mặt tiền",120,6,20,4,4,4,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",90,6,15,4,2,1,Đã có sổ,Duong Luu Huu Phuoc, Phường 15, Quận 8, Tp Hồ Chí Minh
4.85,"Nhà ngõ, hẻm",44,4,11,4,3,3,Đã có sổ,Duong Duong Ba Trac, Phường 2, Quận 8, Tp Hồ Chí Minh
